"County","GDP_KSh_millions","GDP_USD_millions","GDP_per_capita_KSh","GDP_per_capita_USD","Total","Male","Female","Area_Km2","Persons_Per_Sq_Km"
"Nairobi",5192323,30678,328575,6561,4397073,2192452,2204376,703.87005,6246.99545036758
"Kiambu",4933999,20726,789129,6955,2417735,1187146,1230454,2538.69668,952.352842719281
"Mombasa",989918,9425,271039,5412,1208333,610257,598046,219.89648,5495.00837848791
"Nakuru",832122,7632,245999,4912,2162202,1077272,1084835,7504.90539,288.105164241118
"Kisumu",645203,5896,168095,3356,1155574,560942,594609,2085.43324,554.116994893589
"Meru",632860,5650,154537,3086,1545714,767698,777975,7013.94615,220.377226591624
"Machakos",629226,5579,193460,3863,1421932,710707,711191,6037.26955,235.525677332065
"Kakamega",629146,5575,95667,1910,1867579,897133,970406,3016.62375,619.095768903895
"Nyandarua",619489,5483,317700,6344,638289,315022,323247,3285.75857,194.259251372812
"Nyeri",582563,4645,214885,4291,759164,374288,384845,3324.98164,228.321260745368
"Narok",583509,4640,160580,3206,1157873,579042,578805,17931.68124,64.5713575042337
"Bungoma",574961,4493,97986,1957,1670570,812146,858389,3023.93798,552.448499621675
"Murang'a",573018,4455,156392,3123,1056640,523940,532669,2522.7671,418.841675872497
"Kisii",563546,4266,118858,2373,1266860,605784,661038,1323.27643,957.36610377017
"Uasin Gishu",562273,4240,138350,2763,1163186,580269,582889,3398.61337,342.253111303449
"Bomet",559569,4186,169777,3390,875689,434287,441379,2507.07622,349.286947486583
"Elgeyo-Marakwet",359531,4185,221467,4422,454480,227317,227151,3032.05926,149.89152949471
"Kericho",336799,3732,141047,2816,901777,450741,451008,2436.08845,370.174161779717
"Nandi",219691,3390,121149,2419,885711,441259,444430,2849.40171,310.841043188677
"Kilifi",219295,3382,82405,1645,1453787,704089,749673,12553.26504,115.809472306019
"Trans Nzoia",216683,3330,108607,2169,990341,489107,501206,2495.17422,396.902545746886
"Homa Bay",214198,3280,99227,1981,1131950,539560,592367,3152.52616,359.061255180829
"Kajiado",207805,3153,119557,2387,1117840,557098,560704,21871.18482,51.1101711772742
"Embu",203734,3071,183418,3662,608599,304208,304367,2820.67485,215.763614157796
"Nyamira",203239,2061,144512,2886,605576,290907,314656,897.32251,674.869952833346
"Kitui",201560,2028,91580,1829,1136187,549003,587151,30429.60586,37.3382095459057
"Makueni",200924,2015,104161,2080,987653,489691,497942,8176.66642,120.789200545618
"Kirinyaga",200836,2013,162666,3248,610411,302011,308369,1478.31076,412.911152726778
"Migori",196337,1923,87960,1756,1116436,536187,580214,2613.4842,427.182991961459
"Siaya",195265,1902,94714,1891,993183,471669,521496,2529.73596,392.603424113875
"Baringo",192866,1854,127437,2545,666763,336322,330428,10984.62209,60.6996758319976
"Busia",186712,1731,154722,3089,893681,426252,467401,1699.78361,525.761629152313
"Kwale",186278,1723,101725,2032,866820,425121,441681,8253.65541,105.022557514307
"Laikipia",181095,1619,154840,3092,518560,259440,259102,9507.64111,54.541394021971
"Turkana",178301,1563,69775,1393,926976,478087,448868,68233.0758,13.5854347635901
"Tharaka-Nithi",87692,1352,169141,3377,393177,193764,199406,2564.35738,153.323792957439
"Vihiga",79050,1179,92572,1848,590013,283678,306323,563.75651,1046.57416727658
"Taita Taveta",71381,1026,139053,2777,340671,173337,167327,17152.00571,19.8618753841355
"West Pokot",66785,934,69589,1390,621241,307013,314213,9123.28014,68.0940396948065
"Garissa",59394,887,89502,1787,841353,458975,382344,44753.20037,18.7998398560116
"Wajir",57159,842,79468,1587,781263,415374,365840,56773.81413,13.7609743500952
"Mandera",45101,801,48442,967,867457,434976,432444,25942.15093,33.4381294111143
"Marsabit",44073,680,106734,2131,459785,243548,216219,70944.26652,6.48093246365978
"Tana River",43498,669,106894,2134,315943,158550,157391,37903.62209,8.33543029871423
"Lamu",42386,647,244379,4880,143920,76103,67813,6283.02473,22.9061648146656
"Samburu",36503,529,90143,1800,310327,156774,153546,21089.68545,14.7146338780506
"Isiolo",25850,316,100904,2015,268002,139510,128483,25349.18759,10.5724098276713
